fCnt,rssi,dr,freq
940,-82,5,915800000
941,-86,5,915400000
942,-87,5,915200000
943,-90,5,915600000
944,-90,5,916000000
945,-85,5,916000000
946,-87,5,915600000
947,-91,5,916200000
948,-84,5,915200000
949,-91,5,916400000
950,-83,5,915400000
951,-85,5,915800000
952,-84,5,916200000
953,-88,5,915200000
954,-85,5,916000000
955,Sem resposta,5,915800000
956,-86,5,915600000
957,-85,5,915400000
958,-86,5,916400000
959,-85,5,915600000
960,-83,5,915200000
961,-87,5,916200000
962,-90,5,916000000
963,-84,5,915800000
964,-86,5,916400000
965,-85,5,915400000
966,-80,5,916000000
967,-79,5,916400000
968,-82,5,916200000
969,-82,5,915400000
970,-84,5,915200000
971,-91,5,915800000
972,-79,5,915600000
973,-84,5,916200000
974,-81,5,915600000
975,-85,5,916400000
976,-81,5,915200000
977,-81,5,915400000
978,-77,5,915800000
979,-77,5,916000000
980,-77,5,916200000
981,-77,5,916000000
982,-77,5,915800000
983,-77,5,916400000
984,-78,5,915600000
985,-79,5,915400000
986,-83,5,915200000
987,-83,5,915600000
988,-82,5,915800000
989,-83,5,915200000
990,-91,5,916000000
991,-79,5,916200000
992,-80,5,916400000
993,-86,5,915400000
994,-87,5,915200000
995,-93,5,915800000
996,-87,5,916200000
997,-84,5,915400000
998,-86,5,916000000
999,-88,5,915600000
1000,-90,5,916400000
1001,-85,5,915200000
1002,-82,5,916200000
1003,-85,5,916000000
1004,-81,5,915400000
1005,-90,5,915800000
1006,-91,5,916400000
1007,-81,5,915600000
1008,-90,5,916200000
1009,-83,5,916000000
1010,-83,5,916400000
1011,-82,5,915600000
1012,-86,5,915800000
1013,-81,5,915200000
1014,-81,5,915400000
1015,-91,5,916400000
1017,Sem resposta,5,916200000
1018,-78,5,915600000
1019,-82,5,915800000
1020,-80,5,915200000
1021,-83,5,916000000
1022,-78,5,915800000
1023,-79,5,916400000
1024,-79,5,915200000
1025,-88,5,915600000
1026,-83,5,915400000
1027,-90,5,916000000
1028,-83,5,916200000
1029,-83,5,915400000
1030,-83,5,916400000
1031,-83,5,915200000
1032,-87,5,915600000
1033,-83,5,916200000
1034,-84,5,915800000
1035,-84,5,916000000
1036,-84,5,915400000
1037,-87,5,915600000
1038,-85,5,915200000
1039,-87,5,916200000
1040,-85,5,915800000
1041,-86,5,916000000
1042,-86,5,916400000
1043,-85,5,916200000
1044,-85,5,916000000
1045,-82,5,915200000
1046,-84,5,915600000
1047,-85,5,916400000
1048,-83,5,915800000
1049,-86,5,915400000
1050,-87,5,915400000
1051,-90,5,915600000
1052,-84,5,916400000
1053,-85,5,915800000
1054,-85,5,915200000
1055,-85,5,916200000
1056,-87,5,916000000
1057,-95,5,915800000
1058,-95,5,916000000
1059,-92,5,915200000
1060,-85,5,916400000
1061,-83,5,915600000
1062,-84,5,916200000
1063,-85,5,915400000
1064,-90,5,916200000
1065,-88,5,916400000
1066,-93,5,915600000
1067,-93,5,916000000
1068,-98,5,915200000
1069,-87,5,915800000
1070,-90,5,915400000
1071,-87,5,915600000
1072,-86,5,915800000
1073,-86,5,915200000
1074,-85,5,916200000
1075,-85,5,916000000
1076,-85,5,916400000
1077,-85,5,915400000
1078,-84,5,915200000
1079,-84,5,915400000
1080,-84,5,916200000
1081,-91,5,915800000
1082,-91,5,916400000
1083,-88,5,915600000
1084,-88,5,916000000
1085,-87,5,915600000
1086,-88,5,916400000
1087,-87,5,915800000
1088,-88,5,916200000
1089,-88,5,915200000
1090,-86,5,916000000
1091,-86,5,915400000
1092,-87,5,915800000
1093,-86,5,916400000
1094,-87,5,915400000
1095,-84,5,916000000
1096,-86,5,915600000
1097,-87,5,915200000
1098,-79,5,916200000
1099,-76,5,916400000
1100,-82,5,915400000
1101,-81,5,915600000
1102,-81,5,915800000
1103,-92,5,916200000
1104,-91,5,915200000
1105,-87,5,916000000
1106,-87,5,916200000
