fCnt,freq,bw,sf,cr,rssi,channel,timestamp
451,916200000,125,7,4/5,-77,5,1209774300
452,916000000,125,7,4/5,-83,4,1212790611
453,915600000,125,7,4/5,-74,2,1213866355
454,916400000,125,7,4/5,-85,6,1214942380
455,916400000,125,7,4/5,-79,6,1216018396
456,916000000,125,7,4/5,-73,4,1217094411
457,915600000,125,7,4/5,-71,2,1218170427
458,915400000,125,7,4/5,-70,1,1219246451
459,915200000,125,7,4/5,-77,0,1220322467
460,915800000,125,7,4/5,-75,3,1221398475
461,916200000,125,7,4/5,-81,5,1222474500
462,915400000,125,7,4/5,-72,1,1223550515
463,916000000,125,7,4/5,-70,4,1224626539
464,916400000,125,7,4/5,-83,6,1225702548
465,915200000,125,7,4/5,-72,0,1226778571
466,915800000,125,7,4/5,-81,3,1227854579
467,915600000,125,7,4/5,-78,2,1228930603
468,916200000,125,7,4/5,-79,5,1230006620
469,916000000,125,7,4/5,-85,4,1231082635
470,915800000,125,7,4/5,-79,3,1232158651
471,915600000,125,7,4/5,-75,2,1233234667
472,915200000,125,7,4/5,-79,0,1234310691
473,915400000,125,7,4/5,-75,1,1235386707
474,916200000,125,7,4/5,-72,5,1236462724
475,916400000,125,7,4/5,-76,6,1237538740
476,915400000,125,7,4/5,-73,1,1238614755
477,916200000,125,7,4/5,-72,5,1239690772
478,916400000,125,7,4/5,-77,6,1240766788
479,916000000,125,7,4/5,-76,4,1241842811
480,915800000,125,7,4/5,-73,3,1242918819
481,915600000,125,7,4/5,-82,2,1243994843
482,915200000,125,7,4/5,-73,0,1245070859
483,916400000,125,7,4/5,-77,6,1246146876
484,915800000,125,7,4/5,-77,3,1247222891
485,915200000,125,7,4/5,-78,0,1248298915
486,915600000,125,7,4/5,-75,2,1249374931
487,916200000,125,7,4/5,-78,5,1250450948
488,916000000,125,7,4/5,-76,4,1251526963
489,915400000,125,7,4/5,-75,1,1252602979
490,916000000,125,7,4/5,-78,4,1253679003
491,916400000,125,7,4/5,-77,6,1254755012
492,915200000,125,7,4/5,-76,0,1255831035
493,915400000,125,7,4/5,-76,1,1256907051
494,915800000,125,7,4/5,-77,3,1257983067
495,915600000,125,7,4/5,-76,2,1259059083
496,916200000,125,7,4/5,-77,5,1260135108
497,916400000,125,7,4/5,-83,6,1261211124
498,915400000,125,7,4/5,-81,1,1262287139
499,915200000,125,7,4/5,-74,0,1263363155
500,915600000,125,7,4/5,-76,2,1264439171
501,916200000,125,7,4/5,-73,5,1265515188
502,915800000,125,7,4/5,-75,3,1266591203
503,916000000,125,7,4/5,-76,4,1267667227
504,915600000,125,7,4/5,-75,2,1268743243
505,915400000,125,7,4/5,-72,1,1269819259
506,915800000,125,7,4/5,-78,3,1270895275
507,916400000,125,7,4/5,-81,6,1271971292
508,916000000,125,7,4/5,-83,4,1273047315
509,916200000,125,7,4/5,-81,5,1274123332
510,915200000,125,7,4/5,-79,0,1275199347
511,916200000,125,7,4/5,-84,5,1276275364
512,915600000,125,7,4/5,-82,2,1277351379
513,915400000,125,7,4/5,-81,1,1278427403
514,916000000,125,7,4/5,-82,4,1279503419
515,916400000,125,7,4/5,-89,6,1280579436
516,915200000,125,7,4/5,-82,0,1281655451
517,915800000,125,7,4/5,-81,3,1282731467
518,916000000,125,7,4/5,-84,4,1283807491
519,915600000,125,7,4/5,-78,2,1284883507
520,916400000,125,7,4/5,-84,6,1285959524
521,915400000,125,7,4/5,-79,1,1287035539
522,916200000,125,7,4/5,-77,5,1288111556
523,915200000,125,7,4/5,-81,0,1289187579
524,915800000,125,7,4/5,-79,3,1290263587
525,916200000,125,7,4/5,-79,5,1291339612
526,916000000,125,7,4/5,-79,4,1292415627
527,915600000,125,7,4/5,-79,2,1293491643
528,915200000,125,7,4/5,-81,0,1294567667
529,915800000,125,7,4/5,-83,3,1295643675
530,915400000,125,7,4/5,-73,1,1296719699
531,916400000,125,7,4/5,-73,6,1297795716
532,915800000,125,7,4/5,-75,3,1298871731
533,916000000,125,7,4/5,-77,4,1299947755
534,915600000,125,7,4/5,-70,2,1301023763
535,916200000,125,7,4/5,-67,5,1302099788
536,915400000,125,7,4/5,-84,1,1303175803
537,915200000,125,7,4/5,-72,0,1304251827
538,916400000,125,7,4/5,-71,6,1305327836
539,916400000,125,7,4/5,-64,6,1306403852
540,915400000,125,7,4/5,-76,1,1307479875
541,915800000,125,7,4/5,-72,3,1308555891
542,915600000,125,7,4/5,-65,2,1309631907
543,916000000,125,7,4/5,-69,4,1310707931
544,916200000,125,7,4/5,-73,5,1311783948
545,915200000,125,7,4/5,-75,0,1312859963
546,916400000,125,7,4/5,-63,6,1313935980
547,915200000,125,7,4/5,-63,0,1315011995
548,916200000,125,7,4/5,-57,5,1316088012
549,915600000,125,7,4/5,-66,2,1317164028
550,915400000,125,7,4/5,-67,1,1318240051
551,915800000,125,7,4/5,-59,3,1319316059
552,916000000,125,7,4/5,-59,4,1320392083
553,915800000,125,7,4/5,-63,3,1321468099
554,916400000,125,7,4/5,-60,6,1322544116
555,915400000,125,7,4/5,-54,1,1323620139
556,915200000,125,7,4/5,-65,0,1324696155
557,916200000,125,7,4/5,-67,5,1325772172
558,916000000,125,7,4/5,-63,4,1326848187
559,915600000,125,7,4/5,-65,2,1327924203
560,915200000,125,7,4/5,-66,0,1329000227
561,916000000,125,7,4/5,-61,4,1330076243
562,915400000,125,7,4/5,-66,1,1331152259
563,916400000,125,7,4/5,-61,6,1332228276
564,915800000,125,7,4/5,-63,3,1333304291
565,916200000,125,7,4/5,-75,5,1334380316
566,915600000,125,7,4/5,-70,2,1335456323
567,915600000,125,7,4/5,-61,2,1336532347
568,915400000,125,7,4/5,-73,1,1337608363
569,916200000,125,7,4/5,-67,5,1338684380
570,916000000,125,7,4/5,-64,4,1339760403
571,916400000,125,7,4/5,-68,6,1340836412
572,915200000,125,7,4/5,-57,0,1341912435
573,915800000,125,7,4/5,-55,3,1342988443
574,915800000,125,7,4/5,-54,3,1344064467
575,916200000,125,7,4/5,-54,5,1345140484
576,915600000,125,7,4/5,-60,2,1346216499
577,915400000,125,7,4/5,-58,1,1347292515
578,916000000,125,7,4/5,-66,4,1348368539
579,916400000,125,7,4/5,-70,6,1349444556
580,915200000,125,7,4/5,-66,0,1350520571
581,916400000,125,7,4/5,-73,6,1351596588
582,915800000,125,7,4/5,-73,3,1352672603
583,915600000,125,7,4/5,-64,2,1353748619
584,915200000,125,7,4/5,-71,0,1354824643
585,916000000,125,7,4/5,-75,4,1355900659
586,916200000,125,7,4/5,-67,5,1356976676
587,915400000,125,7,4/5,-91,1,1358052691
588,915400000,125,7,4/5,-83,1,1359128707
589,916400000,125,7,4/5,-66,6,1360204724
